Sample,#seq_name,sample_code,site,fragment,length,cov.,circ.,repeat
LF100_platy4,contig_1,LF100,Hierba Buena,platy4,11813,5,N,N
LF101_all_reads,contig_1,LF101,Hierba Buena,both,11706,2241,Y,Y
LF101_platy3,contig_1,LF101,Hierba Buena,platy3,9879,1195,N,N
LF101_platy4,contig_1,LF101,Hierba Buena,platy4,11668,2127,Y,N
LF102_platy4,contig_1,LF102,Hierba Buena,platy4,11671,161,N,N
LF103_all_reads,contig_1,LF103,Hierba Buena,both,12184,1260,N,N
LF103_platy3,contig_1,LF103,Hierba Buena,platy3,9850,64,N,N
LF103_platy4,contig_1,LF103,Hierba Buena,platy4,12106,1256,N,N
LF104_all_reads,contig_4,LF104,Hierba Buena,both,7532,6041,N,Y
LF104_all_reads,contig_5,LF104,Hierba Buena,both,5150,6293,N,Y
LF104_all_reads,contig_1,LF104,Hierba Buena,both,3452,6653,N,Y
LF104_platy3,contig_2,LF104,Hierba Buena,platy3,19894,10,N,N
LF104_platy3,contig_1,LF104,Hierba Buena,platy3,10043,22,N,Y
LF104_platy4,contig_3,LF104,Hierba Buena,platy4,7808,404,N,Y
LF104_platy4,contig_5,LF104,Hierba Buena,platy4,7124,408,N,Y
LF104_platy4,contig_4,LF104,Hierba Buena,platy4,3249,6535,N,Y
LF104_platy4,contig_1,LF104,Hierba Buena,platy4,1301,6809,N,Y
LF105_all_reads,contig_1,LF105,Hierba Buena,both,11832,168,N,N
LF105_platy3,contig_1,LF105,Hierba Buena,platy3,9895,1031,N,N
LF105_platy4,contig_1,LF105,Hierba Buena,platy4,11580,163,N,N
LF106_platy4,contig_1,LF106,Hierba Buena,platy4,11657,3338,Y,N
LF107_platy4,contig_1,LF107,Hierba Buena,platy4,11727,137,Y,N
LF108_platy3,contig_1,LF108,Hierba Buena,platy3,9889,344,N,N
LF109_platy3,contig_1,LF109,Hierba Buena,platy3,9785,944,N,N
LF110_all_reads,contig_5,LF110,Pe–a Blanca,both,17214,362,N,N
LF110_platy3,contig_1,LF110,Pe–a Blanca,platy3,10287,17,N,N
LF110_platy3,contig_2,LF110,Pe–a Blanca,platy3,9799,24,N,N
LF110_platy4,contig_2,LF110,Pe–a Blanca,platy4,11678,398,Y,N
LF111_platy3,0,LF111,Pe–a Blanca,platy3,0,0,0,
LF114_all_reads,contig_1,LF114,Pe–a Blanca,both,12012,1125,N,N
LF114_platy3,contig_1,LF114,Pe–a Blanca,platy3,9844,97,N,N
LF114_platy4,contig_1,LF114,Pe–a Blanca,platy4,12019,1118,N,N
LF115_platy3,contig_1,LF115,Pe–a Blanca,platy3,9863,28,N,N
LF116_all_reads,contig_1,LF116,Pe–a Blanca,both,10889,713,N,N
LF116_platy3,contig_1,LF116,Pe–a Blanca,platy3,9976,716,N,N
LF116_platy4,contig_1,LF116,Pe–a Blanca,platy4,10675,6,N,N
LF121_all_reads,contig_1,LF121,Bosque Berl’n,both,11668,2268,Y,N
LF121_platy3,contig_1,LF121,Bosque Berl’n,platy3,9898,134,N,N
LF121_platy4,contig_1,LF121,Bosque Berl’n,platy4,11675,2224,Y,N
LF122_all_reads,contig_1,LF122,Bosque Berl’n,both,11669,1222,Y,N
LF122_platy3,contig_1,LF122,Bosque Berl’n,platy3,9845,55,N,N
LF122_platy4,0,LF122,Bosque Berl’n,platy4,0,0,0,
LF123_platy4,contig_1,LF123,San Antonio ,platy4,11667,7995,Y,Y
LF124_all_reads,contig_1,LF124,San Antonio ,both,11631,160,N,N
LF124_platy3,contig_1,LF124,San Antonio ,platy3,9844,178,N,N
LF124_platy4,contig_1,LF124,San Antonio ,platy4,11635,158,N,N
LF125_all_reads,contig_1,LF125,San Antonio ,both,16295,333,Y,N
LF125_platy3,contig_1,LF125,San Antonio ,platy3,9909,348,N,N
LF125_platy4,contig_1,LF125,San Antonio ,platy4,11633,47,N,N
LF127_all_reads,contig_1,LF127,San Antonio ,both,9963,228,N,N
LF127_platy3,contig_1,LF127,San Antonio ,platy3,9901,227,N,N
LF127_platy4,0,LF127,San Antonio ,platy4,0,0,0,
LF128_platy3,contig_1,LF128,San Antonio ,platy3,9962,57,N,N
LF129_all_reads,contig_1,LF129,San Antonio ,both,11616,381,N,N
LF129_platy3,contig_2,LF129,San Antonio ,platy3,9791,12,N,N
LF129_platy3,contig_1,LF129,San Antonio ,platy3,8919,16,N,N
LF129_platy4,contig_1,LF129,San Antonio ,platy4,11615,381,N,N
LF130_platy4,contig_1,LF130,San Antonio ,platy4,23340,675,N,N
LF132_platy4,contig_1,LF132,San Antonio ,platy4,11631,1459,N,N
LF133_all_reads,contig_1,LF133,San Antonio ,both,11816,163,N,N
LF133_platy3,contig_1,LF133,San Antonio ,platy3,9793,354,N,Y
LF133_platy4,contig_1,LF133,San Antonio ,platy4,11753,157,N,N
LF135_platy4,contig_1,LF135,San Antonio ,platy4,11668,123,N,N
LF13_all_reads,contig_1,LF13,Sina’,both,9862,275,N,N
LF13_platy3,contig_1,LF13,Sina’,platy3,9999,262,N,N
LF13_platy4,contig_1,LF13,Sina’,platy4,11958,4,N,N
LF16_all_reads,contig_1,LF16,Sina’,both,23109,1393,N,Y
LF16_platy3,contig_1,LF16,Sina’,platy3,9847,143,N,N
LF16_platy4,contig_1,LF16,Sina’,platy4,11929,1610,N,N
LF17_platy3,contig_1,LF17,Sina’,platy3,9864,25,N,N
LF18_platy3,contig_1,LF18,Sina’,platy3,4436,164,N,N
LF19_all_reads,contig_1,LF19,Sina’,both,9878,110,N,N
LF19_platy3,contig_1,LF19,Sina’,platy3,9875,108,N,N
LF19_platy4,contig_1,LF19,Sina’,platy4,11208,7,N,N
LF20_all_reads,contig_1,LF20,Sina’,both,13454,48,N,Y
LF20_all_reads,contig_4,LF20,Sina’,both,4091,5,N,Y
LF20_all_reads,contig_10,LF20,Sina’,both,3100,38,N,Y
LF20_all_reads,contig_11,LF20,Sina’,both,2030,7,N,Y
LF20_all_reads,contig_6,LF20,Sina’,both,713,5,N,Y
LF20_platy3,contig_1,LF20,Sina’,platy3,9126,23,N,N
LF20_platy4,contig_1,LF20,Sina’,platy4,11632,52,N,N
LF21_all_reads,contig_1,LF21,Sina’,both,11649,4287,Y,N
LF21_platy3,contig_1,LF21,Sina’,platy3,9866,145,N,N
LF21_platy4,contig_1,LF21,Sina’,platy4,11652,4256,Y,N
LF22_all_reads,contig_4,LF22,Sina’,both,9165,9896,N,Y
